Agent,Outcome1,Outcome2,Action,Incentive,Pivotality,Subject,Context,RoundNum
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,36,Football,20
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,36,Football,21
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,36,Business,22
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,36,Business,23
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,36,Football,24
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,36,Football,25
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,36,Football,26
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,36,Business,27
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,36,Football,28
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,36,Football,29
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,36,Football,30
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,36,Business,31
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,36,Business,32
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,37,Business,1
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,37,Business,2
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,37,Business,3
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,37,Business,4
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,37,Business,5
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,37,Football,6
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,37,Business,7
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,37,Football,8
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,37,Football,9
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,37,Business,10
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,37,Business,11
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,37,Football,12
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,37,Business,13
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,37,Business,14
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,37,Football,15
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,37,Football,16
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,37,Football,17
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,37,Business,18
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,37,Football,19
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,37,Football,20
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,37,Football,21
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,37,Football,22
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,37,Business,23
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,37,Football,24
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,37,Business,25
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,37,Football,26
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,37,Football,27
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,37,Football,28
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,37,Football,29
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,37,Business,30
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,37,Business,31
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,37,Business,32
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,38,Football,1
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,38,Football,2
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,38,Football,3
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,38,Football,4
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,38,Football,5
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,38,Business,6
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,38,Football,7
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,38,Football,8
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,38,Football,9
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,38,Football,10
